"cgdp","urb_pop"
666.2917549,26.282
5935.722356,43.274
4619.211258,56.409
7574.288108,57.62124729
3646.66271,62.812
13961.22281,24.19
51127.07616,65.919
7884.190236,54.355
295.1178558,11.761
47516.52114,97.818
825.226141,43.514
720.0485932,29.024
1096.562451,33.516
7712.763911,73.626
22245.54396,82.801
4796.208233,39.616
8040.047557,76.277
11612.5108,85.433
15199.28967,31.554
40776.3478,76.887
7757.025363,57.187
378.6050214,39.759
7593.881891,54.41
1426.404146,53.819
7720.046854,76.161
860.8285367,28.193
3715.349217,64.84
10035.44742,75.915
27194.39184,67.019
47627.39208,75.094
7433.927894,69.256
60634.39427,87.502
6222.483654,51.94328855
6850.320132,59.89735135
39567.90203,75.68812426
590.2260187,22.193
30262.22563,79.355
567.8161156,19.028
36317.78282,74.56799484
1554.956835,40.72914103
49541.28822,84.086
4543.25486,53.354
1461.610088,53.392
549.9937011,36.68
422.7810037,59.015
585.6187208,48.55
21682.59827,77.678
8299.128173,35.58
3702.981802,51.115
37896.80925,80.64459843
2346.677037,54.137
13507.35861,58.656
13902.70467,70.771
3514.616948,53.003
53313.61237,62.952
6432.794834,69.361
52111.0431,94.042
34960.29502,68.821
36194.41561,93.021
1269.139335,35.585
1084.445717,20.514
1604.378631,44.173
15209.86573,31.96
27970.49426,82.36
9127.258445,77.67668484
1707.507755,37.551
10139.22248,87.67
6575.431445,78.359
7437.044824,18.477
10125.58988,79.51711538
944.3736246,30.88551882
648.1000202,29.61035747
3631.047204,18.32
2032.762656,38.58212893
4301.140909,47.04844407
995.4758874,26.789
16037.7821,67.421
3139.950751,59.699
2233.771491,44.925
449.3960887,34.468
8624.803676,44.494
8518.702386,64.06462654
10361.29312,78.971
4731.645424,49.10609527
5370.697695,57.029
765.7470305,39.143
1197.529533,33.551
4333.281711,60.41867053
7370.857005,63.832
4170.154017,71.222
1270.230892,59.255
10005.61575,39.814
253.0154603,16.102
54198.68009,81.47076557
440.7220466,18.469
3184.618653,46.942
1913.620769,58.459
97363.09325,80.208
698.2812852,18.243
38400.07601,80.04189795
4749.040317,48.57178352
1333.508466,38.303
11770.8609,66.292
6594.372665,78.285
2843.076776,44.488
11879.67781,86.452
14422.83802,60.568
22080.89196,62.908
4479.131769,59.416
3575.206708,37.21286821
93397.09153,99.159
9996.670293,54.393
12735.9184,73.924
652.0792054,27.841
1541.108227,32.60980458
25409.0251,82.926
1904.220535,33.623
1070.850546,43.393
2021.7382,21.876
3950.654725,66.255
6152.867126,55.455
1781.059138,37.15347806
1113.408743,18.591
1692.434694,64.511
18416.54243,53.757
23962.57603,49.695
58887.25191,85.665
2682.347722,21.315
15359.17835,53.559
1053.824139,22.341
646.1155806,39.469
9031.5405,49.688
1280.415013,32.131
4106.429333,23.632
998.058927,30.901
677.3755694,15.766
3082.461447,69.482
7986.872861,61.80571142
16810.88665,95.152
6477.860092,64.298
475.2336372,41.976
1801.892444,40.472
